Diseases,Solutions,Season
Tomato_Bacterial_spot,Disease-free seed and seedlings should always be used and the crop should be rotated with non-host crops so as to avoid last years crop residue.,winter
Tomato_Bacterial_spot,Seed treatment with mercuric chloride (1:1000) is also recommended for control of disease.,winter
Tomato_Bacterial_spot,Spraying with a combination of copper and organic fungicides in a regular preventative spray program at 5 to 10 day intervals or Spraying with Agrimycin-100 (100 ppm) thrice at 10 days intervals effectively controls the disease.,winter
Tomato_Leaf_Mold,"Cover all areas of the plant that are above the soil, especially the underside of leaves, where the disease often forms.",
Tomato_Leaf_Mold,Calcium chloride-based sprays are recommended for treating leaf mold issues.,
Tomato_Septoria_leaf_spot,Seed treatment with Thiram or Dithane M-45 (2 g/kg seed) is useful in checking seed borne infection.,
Tomato_Septoria_leaf_spot,Removal and destruction of the affected plant parts.,
Tomato_Septoria_leaf_spot,In the field spraying with Mancozeb 0.2 % effectively controls the disease.,
Tomato_Spider_mites_Two_spotted_spider_mite,Apply a pesticide specific to mites called a miticide.,
 Tomato__Tomato_YellowLeaf__Curl_Virus,Keep yellow sticky traps @ 12/ha to monitor the white fly.,
 Tomato__Tomato_YellowLeaf__Curl_Virus,Raise barrier crops-cereals around the field.,
 Tomato__Tomato_YellowLeaf__Curl_Virus,"Spray Imidachloprid 0.05 % or Dimethoate 0.05% @ 15, 25, 45 days after transplanting to control vector.",
Tomato__Tomato_mosaic_virus,Seeds from disease free healthy plants should be selected for sowing. Soaking of the seeds in a solution of Trisodium Phosphate (90 g/litre of water) a day before sowing helps to reduce the disease incidence.,summer
"The seeds should be thoroughly rinsed and dried in shade.""",,
Tomato__Tomato_mosaic_virus,In the nursery all the infected plants should be removed carefully and destroyed. ,
Tomato__Tomato_mosaic_virus,"Crop rotation with crops other than tobacco, potato, chilli, capsicum, brinjal, etc. should be undertaken.",
Tomato__Tomato_mosaic_virus,Seedlings with infected with the viral disease should not be used for transplanting.,
Potato___Early_blight,"Early blight can be controlled by spraying Mancozeb 2 g/lit or Chlorothalonil 2 g/lit at 45, 60 and 75 days after planting.",
Potato___Late_blight," Spray Mancozeb 2 g/lit or Chlorothalonil 2 g/lit on 45, 60 and 75 days after planting. ",
Potato___Late_blight,"Grow late blight resistant varieties like Kufri Jyothi, Kufri Malar and Kufri Thangam.",
Potato___Late_blight,Remove ground creepers which serve as a source of infection.,
Tomato_Early_blight,Removal and destruction of crop debris.,
Tomato_Early_blight,Practicing crop rotation helps to minimize the disease incidence.,
Tomato_Early_blight,Spray the crop with Mancozeb 0.2 % for effective disease control.,
